time,B
"17,6216602777778","-1,18"
"17,6216688888889","-1,1"
"17,6216777777778","-1,09"
"17,6216863888889","-0,94"
"17,621695","-0,81"
"17,6217036111111","-0,82"
"17,6217125","-0,88"
"17,6217211111111","-0,86"
"17,6217297222222","-1,09"
"17,6217383333333","-1,13"
"17,6217472222222","-1,18"
"17,6217558333333","-1,27"
"17,6217644444444","-1,21"
"17,6217730555556","-1,31"
"17,6217819444444","-1,36"
"17,6217905555556","-1,49"
"17,6217991666667","-1,54"
"17,6218077777778","-1,49"
"17,6218166666667","-1,35"
"17,6218252777778","-1,31"
"17,6218338888889","-1,14"
"17,6218425","-1,07"
"17,6218513888889","-0,94"
"17,62186","-0,98"
"17,6218686111111","-0,98"
"17,6218772222222","-0,98"
"17,6218861111111","-1,01"
"17,6218947222222","-1,01"
"17,6219033333333","-0,92"
"17,6219119444444","-0,77"
"17,6219208333333","-0,69"
"17,6219294444444","-0,62"
"17,6219380555556","-0,57"
"17,6219466666667","-0,65"
"17,6219555555556","-0,67"
"17,6219641666667","-0,74"
"17,6219727777778","-0,7"
"17,6219813888889","-0,75"
"17,6219902777778","-0,82"
"17,6219988888889","-0,93"
"17,6220075","-0,9"
"17,6220161111111","-1,03"
"17,622025",-1
"17,6220336111111","-0,83"
"17,6220422222222","-0,75"
"17,6220508333333","-0,71"
"17,6220597222222","-0,77"
"17,6220683333333","-0,75"
"17,6220769444444","-0,76"
"17,6220855555556","-0,86"
"17,6220944444444","-0,82"
"17,6221030555556","-0,95"
"17,6221116666667","-1,1"
"17,6221202777778","-1,23"
"17,6221291666667","-1,35"
"17,6221377777778","-1,29"
"17,6221463888889",-1
"17,622155","-0,6"
"17,6221638888889","-0,69"
"17,6221725","-0,43"
"17,6221811111111","-0,07"
"17,6221897222222","-0,08"
"17,6221986111111","-0,29"
"17,6222072222222","-0,76"
"17,6222158333333","-1,15"
"17,6222244444444","-1,6"
"17,6222333333333","-1,88"
"17,6222419444444",-2
"17,6222505555556","-2,18"
"17,6222591666667","-1,98"
"17,6222680555556","-1,8"
"17,6222766666667","-1,46"
"17,6222852777778","-1,19"
"17,6222938888889","-0,99"
"17,6223027777778","-0,83"
"17,6223113888889","-0,8"
"17,62232","-0,67"
"17,6223286111111","-0,57"
"17,6223375","-0,47"
"17,6223461111111","-0,34"
"17,6223547222222","-0,42"
"17,6223633333333","-0,49"
"17,6223722222222","-0,58"
"17,6223808333333","-0,84"
"17,6223894444444","-0,9"
"17,6223980555556","-0,94"
"17,6224069444444","-0,87"
"17,6224155555556","-0,74"
"17,6224241666667","-0,53"
"17,6224327777778","-0,74"
"17,6224416666667","-1,03"
"17,6224502777778","-1,5"
"17,6224588888889","-1,8"
"17,6224675","-1,91"
"17,6224763888889","-2,03"
"17,622485","-2,01"
"17,6224936111111","-1,93"
"17,6225022222222","-1,84"
"17,6225111111111","-1,49"
"17,6225197222222","-1,28"
"17,6225283333333","-1,08"
"17,6225369444444","-1,08"
"17,6225458333333","-1,13"
"17,6225544444444","-1,12"
"17,6225630555556","-1,12"
"17,6225716666667","-1,04"
"17,6225805555556","-0,85"
"17,6225891666667","-0,63"
"17,6225977777778","-0,48"
"17,6226063888889","-0,5"
"17,6226152777778","-0,54"
"17,6226238888889","-0,62"
"17,6226325","-0,86"
"17,6226411111111","-0,84"
"17,62265","-1,23"
"17,6226586111111","-1,26"
"17,6226672222222","-1,44"
"17,6226758333333","-1,48"
"17,6226847222222","-1,69"
"17,6226933333333","-1,65"
